Model,Mean Accuracy,Std Accuracy
Logistic Regression,0.9514677103718199,0.0007827788649706679
Decision Tree,0.9062622309197652,0.004849123950435917
Random Forest,0.949706457925636,0.0009978511768283054
SVM,0.9512720156555773,0.0003913894324853562
SVM (Tuned),0.9548,-
